lsNr;Betreiber;Straße;Hausnummer;Adresszusatz;Postleitzahl;Ort;Bundesland;Kreis/kreisfreie Stadt;Breitengrad;Längengrad;Inbetriebnahmedatum;Anschlussleistung;Normalladeeinrichtung;Anzahl Ladepunkte;Steckertypen1;P1 [kW];Public Key1;Steckertypen2;P2 [kW];Public Key2;Steckertypen3;P3 [kW];Public Key3;Steckertypen4;P4 [kW];Public Key4
1;Stadtwerke Eutin GmbH;Poststraße;0;;23623;Ahrensbök;Schleswig-Holstein;Kreis Ostholstein;54.012848;10.572616;2019-05-17;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
2;Autohaus Ahrensbök GmbH;Segeberger Chaussee;2A;;23623;Ahrensbök;Schleswig-Holstein;Kreis Ostholstein;54.015923;10.570551;2021-08-05;39.6;Normalladeeinrichtung;2;DC Kupplung Combo;22;;AC Steckdose Typ 2;11;;;;;;;
3;EnBW mobility+ AG und Co.KG;Hamburger Straße;57;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.669078;10.231072;2019-11-26;98;Schnellladeeinrichtung;2;AC Kupplung Typ 2;43;;DC Kupplung Combo, DC CHAdeMO;50;;;;;;;
4;E.ON Drive GmbH;Reeshoop;47;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.6795799;10.2339647;2018-04-03;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
5;E.ON Drive GmbH;Königstraße;11;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.67413;10.243023;2018-12-20;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
6;E.ON Drive GmbH;Kurt-Fischer-Straße;52;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.69126;10.260891;2018-04-03;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
7;E.ON Drive GmbH;Kornkamp;10;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.68371;10.25759;2018-09-18;72;Schnellladeeinrichtung;2;AC Kupplung Typ 2;22;;DC Kupplung Combo, DC CHAdeMO;50;;;;;;;
8;Stadtwerke Ahrensburg GmbH;Manfred Samusch Straße;5;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.67295;10.236111;2018-12-21;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
9;Stadtwerke Ahrensburg GmbH;Am Alten Markt;12;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.677218;10.239538;2018-12-21;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
10;Stadtwerke Ahrensburg GmbH;Große Straße;26;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.674352;10.23929;2019-04-01;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
